id,meaning_id,lemma,morphology,ipa,meaning_ru,examples,definition
12,1,абдал,"-лидил, -лла, -те",abdal,,"умалишенный, психически больной, безумец; абдалзивухъна умалишенный старик; абдал сечIултал ухадавукку безумец ничего не боится","мед. умалишенный, психически больной, безумец; абдалзивухъна умалишенный старик; абдал сечIултал ухадавукку безумец ничего не боится."
13,1,абдал/бихв-и,"/йихви, мн. I-II (/вихви, /йихви, /дихви), -е, -ул, -узив, -е",abdal/biχw-i,,"I-II (/вихви, /йихви; /дихви), -е, -ул, -узив, -е; заболевать психической болезнью,становиться безумным; абдалвихви вевидище начал становиться безумным; абдалвихузив инсан балниццал какьай заболевшего психической болезнью уложили в больницу; человек с признаками психической болезни; абдалдахсив инсан глуповатый человек; абдалдахсий хьунул глуповатая женщина; те инсан дамми абдалдахсив такиццид тот человек мне показался странным","несов. заболевать психической болезнью,становиться безумным; глупеть; абдалвихви вевидище начал становиться безумным;абдалвихузив инсан балниццал какьай заболевшего психической болезнью уложили в больницу. ||сов. абдалбухи. АБДАЛДАХ/СИВ (-й; /щуб); глуповатый; человек с признаками психической болезни; абдалдахсив инсан глуповатый человек; абдалдахсий хьунул глуповатая женщина; те инсан дамми абдалдахсив такиццид тот человек мне показался странным (с признаками психической болезни)."
14,1,абдалдихь,"-лидил, -ла, абдалдище",abdaldix,,абдалдихьла иццала психическая болезнь; идила бакьутте абдалдихь багьналде его поступок был связан с его психической болезнью,"мед. безумие, сумасшествие; абдалдихьла иццала психическая болезнь; идила бакьутте абдалдихь багьналде его поступок был связан с его психической болезнью."
15,1,абд-и,"-иб, -ибзиб, -е, -е, -иб, -ибзиб, -е",abd-i,,ччюрккялццил абди очиститься от грязи; ццаб абди биккул саб небо начинает проясняться от туч; ццаб абдиб саб небо ясное; дучче ццаб пакле абде ночью небо стало ясным; пусть здравствуют твои ясные глаза,сов. очиститься; ччюрккялццил абди очиститься от грязи; ццаб абди биккул саб небо начинает проясняться (очищаться) от туч. || несов. ибди. АБДИБ нареч. ясно; ццаб абдиб саб небо ясное; дучче ццаб пакле абде ночью небо стало ясным (прояснилось).♦ Ила абдиб улбе дат фольк. пусть здравствуют твои ясные глаза.
16,1,абдибзи-б,"-й, абдужуд, абдужуб) ясный",abdibzi-b,,абдибзиб ццаб ясное небо; абдужуд пикруме ясные мысли; абдужуд исала чисто постиранные вещи,чистый; абдибзиб ццаб ясное небо; абдужуд пикруме ясные мысли; абдужуд исала чисто постиранные вещи.
17,1,абду/бакь-и,"/якьи, мн. I-II (/вакьи, /якьи, /дакьи), -ай, -иб, -ибзиб, -а",abdu/baq'-i,,"I-II (/вакьи, /якьи; /дакьи), -ай, -иб, -ибзиб, -а; гIяхле абдубакьи хорошо почистить; абдубакьибзиб хатIа очищенная тарелка; юццилдил дила палтар абдудакьай сестра почистила мою одежду","сов. очистить, почистить; гIяхле абдубакьи хорошо почистить; абдубакьибзиб хатIа очищенная тарелка; юццилдил дила палтар абдудакьай сестра почистила мою одежду. || несов. абдубикьи."
18,1,абду/бикь-и,"мн. I-II (/викьи, /йикьи, /дикьи), -у, -ул, -узиб, -а",abdu/biq'-i,,азбар абдубикьи чистить двор; чаханте абдудикьи биччихъид люблю чистить обувь; гьар ччаваллла сулбе абдудикьузиб бихва каждое утро нужно чистить зубы,"несов. очищать, чистить; азбар абдубикьи чистить двор; чаханте абдудикьи биччихъид люблю чистить обувь; гьар ччаваллла сулбе абдудикьузиб (виисужуд) бихва каждое утро нужно чистить зубы. || сов. абдубакьи."
19,1,абду/бихв-и,"/йихви, мн. I-II (/вихви, /йихви, /дихви), -е, -ул, -узиб, -е",abdu/biχw-i,,"I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е; ихъаннидил нюхъбе абдудихва руки очищаются мылом; гал ццуцнаццил абдувихул дахъе уже мальчик долго очищался от колючек",несов. очищаться; ихъаннидил нюхъбе абдудихва руки очищаются мылом; гал ццуцнаццил абдувихул дахъе уже мальчик долго очищался от колючек. || сов. абдубухи.
20,1,абду/бух-и,"/юхи, мн. I-II (/ухи, /юхи, /духи), -е, -уб, -убзиб, -е",abdu/buχ-i,,"I-II (/ухи, /юхи; /духи), -е, -уб, -убзиб, -е; вачаг абдубухуб саб брюки очистились; абдубухубзиб мусса очистившееся место; улгам абдубухахъи бажил саб надо, чтобы шуба очистилась","сов. очиститься; вачаг абдубухуб саб брюки очистились; абдубухубзиб мусса очистившееся место; улгам абдубухахъи бажил саб надо, чтобы шуба очистилась. ||несов. абдубихви."
21,1,абду/зи-б,"-й, /жуб, /жуд)",abdu/zi-b,,абдужуд палтар чистая одежда; абдужуб бикIате чистые дети; дила итти хьул абдузиб де намерение к тебе у меня было чистое,чистый; абдужуд палтар чистая одежда; абдужуб бикIате чистые дети; дила итти хьул абдузиб де намерение (желание) к тебе у меня было чистое.
22,1,абдудихь,"-лидил, -ла, абдудище",abdudix,,чистота гьарбехамххали абдудихь бажил саб ежедневно для тела нужна чистота; чистота – здоровье тела,чистота гьарбехамххали абдудихь бажил саб ежедневно для тела нужна чистота; ♦Абдудихь – чахла арадихь прим. чистота – здоровье тела.
23,1,абиккан/,"/агул, /агузиб, -и, -и, /агул, /агузиб, -и",abikkan/,,"абикканагужуд гъайслова, которые обидели; вагьла атта-абай бикIле абикканажихъи агага никогда нельзя обижать своих родителей; дила абикканагне дудил синце гьабилгвила я ему выскажу свое огорчение","несов. огорчаться, обижать;абикканагужуд гъайслова, которые обидели; вагьла атта-абай бикIле абикканажихъи агага никогда нельзя обижать своих родителей; дила абикканагне дудил синце гьабилгвила я ему выскажу свое огорчение (обиду). || сов. абикканажи."
24,1,абиккан/аж-и,"/агул, /агузиб, -и, -е, /агул, /агузиб, -и",abikkan/až-i,,дамми гьакал абикканагахъай меня сильно обидели; юлдашли абикканагахъи бажиладе не надо было огорчать друга; ила бакьутте дамми абикканагузибде твой поступок огорчил меня,сов. огорчиться; обидеть;дамми гьакал абикканагахъай меня сильно обидели;юлдашли абикканагахъи бажиладе не надо было огорчать друга; ила бакьутте дамми абикканагузибде твой поступок огорчил меня. || несов. абикканāжи.
25,1,абикканагала,"-лдил, -лла, абикканаглуме",abikkanagala,,"ццукьзибабикканагала глубокая обида; дила абикканагаламоя обида; ила абикканагалалдил ду паргъатаккватвакьайтвоя обида меня растревожила; Абиккан агагузив, инсан агага погов; тот, который не стыдится, человеком не станет; Абиккан агмагат! обращ; не обижайся! Абиккан ажид! собол; горестно, сочувствую горю; Сини алжана биккаб! собол; очень огорчены случившимся; Пусть он окажется в раю","обида; ццукьзибабикканагала глубокая обида; дила абикканагаламоя обида; ила абикканагалалдил ду паргъатаккватвакьайтвоя обида меня растревожила.Абиккан агагузив, инсан агага погов.тот, который не стыдится, человеком не станет.Абиккан агмагат! обращ. не обижайся! Абиккан ажид! собол. горестно, сочувствую горю. Абикканажид. Сини алжана биккаб! собол. очень огорчены случившимся. Пусть он окажется в раю."
26,1,абиччи/зи-б,"айиччизий, /жуб, адиччижуд) ",abičči/zi-b,,абиччизиб хабарнеприятное известие; авиччизив инсан неприятный человек; адиччижуд пишне дакьисовершить неприятные поступки; Авиккузивли гьис мидизиб погов,неприятный; абиччизиб хабарнеприятное известие; авиччизив инсан неприятный человек; адиччижуд пишне дакьисовершить неприятные поступки (проделки).Авиккузивли гьис мидизиб погов.нелюбимому послаще.
27,1,абла // абдикiнелла ,,abla // abdikinella wesennij; abla be wesennij den; abla paltar wesennæˁja odežda; nussadil biccizib abla belžib kkuc bekwida mi sʔeli wkusnij χinkal w den wesennego rawnodenstwija. ♦ abla kkuc obr. χinkal,,"абла бе весенний день; абла палтар весенняя одежда; нуссадил биццизиб абла белжиб ккуц беквида мы съели вкусный хинкал в день весеннего равноденствия; хинкал, приготовленный в день весеннего равноденствия (букв; Абла ккуц обр. хинкал, приготовленный в день весеннего равноденствия","весенний; абла бе весенний день; абла палтар весенняя одежда; нуссадил биццизиб абла белжиб ккуц беквида мы съели вкусный хинкал в день весеннего равноденствия. ♦ Абла ккуц обр. хинкал, приготовленный в день весеннего равноденствия (букв.хинкал весны). "
28,1,ав,"-лидил, -ла, ед.",aw,,бицIла ав волчий вой; ккушшуд буцIалла ав каттикьулдебыл слышенвой голодных волков,вой; бицIла ав волчий вой; ккушшуд буцIалла ав каттикьулдебыл слышенвой голодных волков.
29,1,ав/бук,"-ай, -ул, -узиб, -е",aw/buk,,авбукIи бебидище начал выть; ккушзиб бицI авбукIай воет голодный волк,сов. и несов. выть; авбукIи бебидище начал выть; ккушзиб бицI авбукIай воет голодный волк.
30,1,авара // агвара,"-лдил, -лла, -те",awara // agwara,,дажаккважуд авара ненужная возня; авара дедище началась возня; нате няхIякьла авараде это была напрасная возня,"возня, шум; дажаккважуд авара ненужная возня; авара дедище началась возня; нате няхIякьла авараде это была напрасная возня."
31,1,аваракква/зи-в,"беззаботный, /жуб)",awarakkwa/zi-w,,аваракквазив инсан беззаботный человек,"беспечный, беззаботный; аваракквазив инсан беззаботный человек."
32,1,аваракквадихь,"-лидил, -ла, аваракквадище",awarakkwadix,,ил аваракквадихьлиццила уццул сав он действует с безразличием; аваракквадихьле бакьутте хъямле ажи из-за безразличия дело завершилосьнеудачно,"безразличие, равнодушие; ил аваракквадихьлиццила уццул сав он действует с безразличием (равнодушно); аваракквадихьле бакьутте хъямле ажи из-за безразличия дело завершилосьнеудачно."
33,1,аваракквал,безразлично,awarakkwal,,аваракквал хIирухи прожить беспечно; жагьилтаддил аваракквал гIюмру дидукIул саб молодежьживет беспечно; муттадил уче аварахъле гьайбакьай всадник пустил коня галопом,аваракквал хIирухи прожить беспечно; жагьилтаддил аваракквал гIюмру дидукIул саб молодежьживет беспечно. АВАРАХЪЛЕ нареч. галопом; аварахълебашихъипустить галопом; муттадил уче аварахъле гьайбакьай всадник пустил коня галопом.
34,1,август,"-лидил, -ла, ед. ",awgust,,августла вахт августовское время; август сабагъе наступил август; ниссила щилццид августлижид ххял микъубе дикьу в нашем селе в августе играют много свадеб; агъвдяш къуруш четыреста рублей; цIижуд чаханте агъвдяш къурушли ассад новую обувь купил за четыреста рублей,август; августла вахт августовское время; август сабагъе наступил август; ниссила щилццид августлижид ххял микъубе дикьу в нашем селе в августе играют много свадеб. АВГЪДЯШ числ. четыреста; агъвдяш къуруш четыреста рублей; цIижуд чаханте агъвдяш къурушли ассад новую обувь купил за четыреста рублей.
35,1,авдан/ба,"/якьи, мн. I-II (/вакьи, /якьи, /дакьи), -ай, иб, -ибзиб, -а",awdan/ba,,"I-II (/вакьи, /якьи; /дакьи), -ай, иб, -ибзиб, -а; гIячилдил авданвакьибзив разбогатевший своим трудом; гьилал вахтижиб ариш-баришидил ххял уй авданбакьай в последнее время торговля обогатила много людей",сов. обогатить; гIячилдил авданвакьибзив разбогатевший своим трудом (работой); гьилал вахтижиб ариш-баришидил ххял уй авданбакьай в последнее время торговля обогатила много людей. || несов. авданбикьи.
36,1,авдан/би,"/йикьи, мн. I-II (/викьи, /йикьи, /дикьи), -у, -ул, -узиб, -а",awdan/bi,,"I-II (/викьи, /йикьи; /дикьи), -у, -ул, -узиб, -а; авдандихь гьарилли бажил саб богатство всем нужно; труд не обогащает",несов. обогащать; авдандихь гьарилли бажил саб богатство всем нужно. ♦ГIячилдил авданвикьекьу пог. труд (работа) не обогащает. || сов. авданбакьи.
37,1,авдан/би,"/йихви, мн. I-II (/вихви, /йихви, /дихви), -е, -ул, -узиб, -е",awdan/bi,,"I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е; уй авданбихул саблюди богатеют; дене авданвихви вевидище сосед начал богатеть",несов. богатеть; уй авданбихул саблюди богатеют;дене авданвихви вевидище сосед начал богатеть. || сов. авданбухи.
38,1,авдан/бух-и,"/ъюхи, мн. I-II (/ухи, /ъюхи, /духи), -е, -уб, -убзиб, -е",awdan/buχ-i,,"I-II (/ухи, /ъюхи; /духи), -е, -уб, -убзиб, -е; сикIалли авданбухи биккул саб все хотят разбогатеть; шшанте авданбухале мискинзивлия уччикабахьаесли сельчане разбогатеют, бедному тоже перепадает; дунуппе авдабухуб чачIу бишлагьабикьул асаб разбогатев, соседи не считаютсяни с кем","разбогатеть; сикIалли авданбухи биккул саб все хотят разбогатеть; шшанте авданбухале мискинзивлия уччикабахьаесли сельчане разбогатеют, бедному тоже перепадает; дунуппе авдабухуб чачIу бишлагьабикьул асаб разбогатев, соседи не считаютсяни с кем. || несов. авданбихви."
39,1,авданди,"-лидил, -ла, -ще",awdandi,,улкалла авдандихь богатство страны; калхузалла вахтижиб ккулаккалла авдандихь квебеттайво время создания колхозову кулаков отняли богатство,"богатство, роскошь; улкалла авдандихь богатство страны; калхузалла вахтижиб ккулаккалла авдандихь квебеттайво время создания колхозову кулаков отняли богатство; савитI хIукумат букIул бихве, «ниссилла улкалла авдандихьла багьанте нуссада» «мы хозяева богатств нашей страны», декларировало советское государство."
40,1,ага,"-й, /жуб, /жуд) ",aga,,агагузиб гьаисказать непристойное; иддил агагужуд тяхIярте дакьай он поступил некрасиво,"запретный, непристойный, недозволенный; агагузиб гьаисказать непристойное; иддил агагужуд тяхIярте дакьай он поступил некрасиво (непристойно)."
41,1,агв-а,"-лдил, -лла, -не",agw-a,,цIизиб агва новое платье; агва чахи надеть платье; пIартIнихадил букьязиб агва бахи мастерица сшила красивое платье; Шяняш ляписла агва фольк; платье цвета ляписа,платье; цIизиб агва новое платье; агва чахи надеть платье; пIартIнихадил букьязиб агва бахи мастерица сшила красивое платье.Шяняш ляписла агва фольк. платье цвета ляписа.
42,1,агва-к,"-лидил, -ла, агва-кIуззе",agwa-k,,женская одежда (букв; цIиквайла агва-кIаз одежда невесты; юссили гьегъедиччибжуд агва-кIазприданная одежда дочери, женская одежда (букв. платье-головная накидка); цIиквайла агва-кIаз одежда невесты; юссили гьегъедиччибжуд агва-кIазприданная одежда дочери.
43,1,агван/а,"/агул, /агузиб, -и, -и, /агул, /агузиб, -и",agwan/a,,дехъв агванажи убирать хлев; бикIате чула сикIабха агванажихъи буссабикьи бажил саб надо приучать детей убирать свои вещи,несов. убирать; дехъв агванажи убирать хлев;бикIате чула сикIабха агванажихъи буссабикьи бажил саб надо приучать детей убирать свои вещи. || сов. агванажи.
44,1,агван/аж-и,"/агул, /агузиб, -и, -и, /агул, /агузиб, -и",agwan/až-i,,бушагванажи убрать постель; агванагузиб хъал прибраннаякомната; вахтижиб ма агванажида вовремя убрали сено,"сов. убрать, прибрать; бушагванажи убрать постель; агванагузиб хъал прибраннаякомната; вахтижиб ма агванажида вовремя убрали сено. || несов. агвана̄жи."
45,1,агвачан,"-нидил, -на, -те",agwačan,,найлунна агвачан нейлоновая рубашка; дулкьунзиб агвачан коричневая рубашка; агвачан чахи надеть рубашку; агвачанна дулкме духъинне сад рукава рубашки длинные,рубашка; найлунна агвачан нейлоновая рубашка; дулкьунзиб агвачан коричневая рубашка; агвачан чахи надеть рубашку; агвачанна дулкме духъинне сад рукава рубашки длинные.
46,1,агр-е,"-илдил, -илла",agr-e,,"гIячилла агре величина работы; агре камбакьиуменьшитьобъем работы; е гIячилла агре гьабагъе гьасиб хиб величина этой работы достаточна; ĀГУ/ЗИ-Б (-в, -й; успешный, разрешенный; агузиб гIяче получающаяся работа; агужуд сикIабха дела, которые могут закончиться удачно; ду ишшу сякьилла агузиб вахтла я к тебе приду, как получится (букв","объем, величина; гIячилла агре величина работы; агре камбакьиуменьшитьобъем работы; е гIячилла агре гьабагъе гьасиб хиб величина (объем) этой работы достаточна. ĀГУ/ЗИ-Б (-в, -й; /жуб, /жуд);получающийся; успешный, разрешенный (по будущему результату); агузиб гIяче получающаяся работа; агужуд сикIабха дела, которые могут закончиться удачно; ду ишшу сякьилла агузиб вахтла я к тебе приду, как получится (букв. будет получаться)."
47,1,агузиб,"-й, -жуб, -жуд)",aguzib,,агужуд тIама-гьама случившиеся события; пакле агузиб гIяче красиво получившаяся работа,случившееся; агужуд тIама-гьама случившиеся события; пакле агузиб гIяче красиво получившаяся работа.
48,1,агъ,"-идил, -ла, -убе",aʁ,,"буцIезиб агъ жаркая погода; агъиже чивгьи смотреть на погоду; гьанишшила вахтла агъ буцIезиб бихва летняя погода бывает жаркой; у наблюдающего за погодой сено не сохнет; ГIюгъбугла агълиже, викIа галла хьайлиже гьатте виххи агузиб асаб погов; кубачинская погода также непредсказуема, как попа ребёнка; Агъла иццала мед; Агъиже чивгьузивла, ма дугъагъу погов. у наблюдающего","погода; буцIезиб агъ жаркая погода; агъиже чивгьи смотреть на погоду; гьанишшила вахтла агъ буцIезиб бихва летняя погода бывает жаркой.♦ Агъиже чивгьузивла, ма дугъагъу погов. у наблюдающего (смотрящего) за погодой сено не сохнет.ГIюгъбугла агълиже, викIа галла хьайлиже гьатте виххи агузиб асаб погов. кубачинская погода также непредсказуема, как попа ребёнка. Агъла иццала мед. ревматизм (букв. болезнь погоды)."
49,1,агъв,,aʁw,,"агъв инсан четыре человека; машиналиб агъв юссе бинкабжиб тибде в машине сидели четыре девушки; вышедшее сквозь четыре зуба доходит до сорока ртов; Агъвле ухъ! прокл; чтобы отнесли четверо, т; чтобы отнесли на носилках на кладбище)","числ. четыре; агъв инсан четыре человека; машиналиб агъв юссе бинкабжиб тибде в машине сидели четыре девушки. ♦Агъв сулалил ттабичибзиб агъвцIалла мулилта бидигъупосл.вышедшее сквозь четыре зуба доходит до сорока ртов (языков).Агъвле ухъ! прокл. чтобы подох. (букв. чтобы отнесли четверо, т.е. чтобы отнесли на носилках на кладбище)."
50,1,агъвдуссан,"-нидил, -на, -те",aʁwdussan,,агъвдуссан ус бык-четырехлетка; цIуттезиб агъвдуссан черная четырехлетка; агъвдуссан квибисай продали четырехлетку; агъвдуссан ус укалгу вибдагъай четырехлетку впрягли в телегу,четырехлетка; агъвдуссан ус бык-четырехлетка; цIуттезиб агъвдуссан черная четырехлетка; агъвдуссан квибисай продали четырехлетку; агъвдуссан ус укалгу вибдагъай четырехлетку впрягли в телегу (арбу).
51,1,агъвдуссила // агъвдуссан,"-лдил, -лла, агъвдуссанте",aʁwdussila // aʁwdussan,,"агъвдуссила ус четырехлетний бык; нуссаддил агъвдуссила кьюл ассада мы купили корову, которой исполнилось четыре года"," четырехлетний; агъвдуссила (агъв дус бухубзиб) ус четырехлетний бык; нуссаддил агъвдуссила кьюл ассада мы купили корову, которой исполнилось четыре года."
52,1,агъвжина,четыре раза,aʁwžina,,агъвжина сякьин четыре раза пришел; жагьиллидил агъвжина саибил мусса бусай юноша четырежды завоевал первое место; агъвибиллий ккалас четвертый класс; ду агъвибиллий дус шагьарриццив хIирвихулда я живу в городечетвертый год,"четырежды, четыре раза; агъвжина сякьин четыре раза пришел; жагьиллидил агъвжина саибил мусса бусай юноша четырежды завоевал первое место. АГЪВИБИЛЛИЙ числ.; четвертый; агъвибиллий ккалас четвертый класс; ду агъвибиллий дус шагьарриццив хIирвихулда я живу в городечетвертый год."
53,1,агъвмуд/зиб,"квадратный, прямоугольный, четырехугольный",aʁwmud/zib,,агъвмудзиб ккуц четырехугольный кусок ткани; Агъмуд дакку дараэ фольк; свернутый в квадрат шелк; Агъвла гIяшак вид кубачинского бронзового котла; Агъвмуд алхана квадратный напильник; Агъвмуд гъюгъял бот; высохшая грубая трава,агъвмудзиб хъу квадратный огород; агъвмудзиб ккуц четырехугольный кусок ткани.Агъмуд дакку дараэ фольк. свернутый в квадрат шелк.Агъвла гIяшак вид кубачинского бронзового котла. Агъвмуд алхана квадратный (в  сечении) напильник. Агъвмуд гъюгъял бот. высохшая грубая трава.
54,1,агъвмудан,"-нидил, -на, -те",aʁwmudan,,дуруссиб агъвмудан правильный четырехугольник; чIулмаццила агъвмудан чукурбакьи собрать четырехугольник из спиц; учиникIле дурусле агъвмуданкабгайученик правильно нарисовал четырехугольник; агъвцIал бе сорок дней; туканчилдил агъвцIал митIир масла бисай продавец продал сорок метров материи,четырехугольник; дуруссиб агъвмудан правильный четырехугольник; чIулмаццила агъвмудан чукурбакьи собрать четырехугольник из спиц; учиникIле дурусле агъвмуданкабгайученик правильно нарисовал (начертил) четырехугольник. АГЪВЦIАЛ числ. сорок; агъвцIал бе сорок дней; туканчилдил агъвцIал митIир масла бисай продавец продал сорок метров материи.
55,1,агъвц,рел. поминки насорокой день (поминальный обряд сорока дней после смерти человека),aʁwc,,агъвцIалелла бакьи провести поминки на сорок дней; агъвцIалибил дус сороковой год; ниссила михъ бакьибжила агъвцIалибил дус дихул сад со дня нашей свадьбы проходит сороковой год,агъвцIалелла бакьи провести поминки на сорок дней. АГЪВЦIАЛИБИЛ числ. сороковой; агъвцIалибил дус сороковой год; ниссила михъ бакьибжила агъвцIалибил дус дихул сад со дня нашей свадьбы проходит сороковой год.
56,1,агъвц,"-лдил, -лла, агъвцIунбе",aʁwc,,конструкция из полок; китабталла агъвцIанна книжная полка; агъвцIанна бичи покрасить полку; агъвцIанал абадил мучIал чисабалчин мама сняла с полки водоносный сосуд; «агъвцIанна» агъв ццане гьаибзиб саб «агвцанна» буквально означает четыре полки,"конструкция из полок (традиционная деревяная конструкция, смонтированная к стене каминной комнаты из 4-5 полок); китабталла агъвцIанна книжная полка; агъвцIанна бичи покрасить полку; агъвцIанал абадил мучIал чисабалчин мама сняла с полки водоносный сосуд; «агъвцIанна» агъв ццане гьаибзиб саб «агвцанна» буквально означает четыре полки."
57,1,агъу // агъру,"-лдил, -лла",aʁu // aʁru,,цIакьзиб агъу сильный яд; агъулдил инсан убчIихъу от яда человек умирает,яд; отрава; цIакьзиб агъу сильный яд; агъулдил инсан убчIихъу от яда человек умирает.
58,1,агъулла/зи-б,"-й, /жуб, /жуд) ",aʁulla/zi-b,,агъуллазиб район агульский район; агъуллазий хьунул агулка; агъуллажуд ниссубе сикIаллидил гапдикьу все хвалят агульские сыры; агъулла ххюл агульский кунак; агъуллажуб шшанте агульцы; агъуллажуд гьунзбе биццижуд дихва агульские яблоки бывают вкусные,агульский; агъуллазиб район агульский район; агъуллазий хьунул агулка; агъуллажуд ниссубе сикIаллидил гапдикьу все хвалят агульские сыры. АГЪУЛЛА1 агульский; агъулла ххюл агульский кунак; агъуллажуб шшанте агульцы; агъуллажуд гьунзбе биццижуд дихва агульские яблоки бывают вкусные.
59,1,агъулла,ядовитый,aʁulla,,агъуллазиб буккин ядовитая еда; агъуллажуд гъай перен; жаниварридил агъуллазиб кьай тиксабикьу зверь отличает ядовитую траву,агъуллазиб буккин ядовитая еда; агъуллажуд гъай перен. ядовитые слова; жаниварридил агъуллазиб кьай тиксабикьу зверь отличает (не ест) ядовитую траву.
60,1,агъуллазиб,отравленный,aʁullazib,,ид вибкIнилла багьна агъуллазиб буккинде причиной его смерти была отравленная пища,агъуллажуд кьай ядовитые травы; ид вибкIнилла багьна агъуллазиб буккинде причиной его смерти была отравленная пища.
61,1,агь,мой товарищ,ah,,"агь дила юлдаш ой, мой товарищ; агь дила юлдаш, дахъе видахъаттикква ой, мой товарищ, надолго же ты потерялся; у агьвайле хIирвихулде ты живешь беззаботно; сердце мое без забот","агь дила юлдаш ой, мой товарищ; агь дила юлдаш, дахъе видахъаттикква ой, мой товарищ, надолго же ты потерялся. АГЬВАЙЛЕ нар. беззаботно; у агьвайле хIирвихулде ты живешь беззаботно. ♦ Агьвайле укIия либ фольк. сердце мое без забот."
