language,glottocode,id_word,meaning_id,lemma,ipa,definition,morphology,annotator,pos,reference,meaning_ru,examples
Kubachi,kuba1248,13,1,абдалдах/сив,a-b-d-a-l-d-a-χ-/-s-i-w,(-й; /щуб);; абдалдахсив инсан глуповатый человек; абдалдахсий хьунул глуповатая женщина; те инсан дамми абдалдахсив такищид тот человек мне показался странным (с признаками психической болезни).,(-й; /щуб);,Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",глуповатый,абдалдахсив инсан глуповатый человек; абдалдахсий хьунул глуповатая женщина; те инсан дамми абдалдахсив такищид тот человек мне показался странным (с признаками психической болезни).
Kubachi,kuba1248,14,1,абдалдихь,a-b-d-a-l-d-i-x,"-лидил, -ла; абдалдище; абдалдихьла иццала психическая болезнь; идила бакьутте абдалдихь багьналде его поступок был связан с его психической болезнью.","-лидил, -ла; абдалдище",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",безумие,абдалдихьла иццала психическая болезнь; идила бакьутте абдалдихь багьналде его поступок был связан с его психической болезнью.
Kubachi,kuba1248,15,1,абд-и(й),a-b-d-i-(-j-),"III; -е, -иб, -ибзиб, -е; ччюрккялццил абди очиститься от грязи; щаб абди биккул саб небо начинает проясняться (очищаться) от туч; несов. ибди.","III; -е, -иб, -ибзиб, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",очиститься,ччюрккялццил абди очиститься от грязи; щаб абди биккул саб небо начинает проясняться (очищаться) от туч; несов. ибди.
Kubachi,kuba1248,16,1,абдиб,a-b-d-i-b,нареч.; щаб абдиб саб небо ясное; дучче щаб пакле абде ночью небо стало ясным (прояснилось).♦ Ила абдиб улбе дат фольк. пусть здравствуют твои ясные глаза.,нареч.,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",ясно,щаб абдиб саб небо ясное; дучче щаб пакле абде ночью небо стало ясным (прояснилось).♦ Ила абдиб улбе дат фольк. пусть здравствуют твои ясные глаза.
Kubachi,kuba1248,17,1,абдибзи-б,a-b-d-i-b-z-i-b,"(-в, -й; абдужду, абдужуб); абдибзиб щаб ясное небо; абдужду пикруме ясные мысли; абдужду исала чисто постиранные вещи.","(-в, -й; абдужду, абдужуб)",Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",ясный,абдибзиб щаб ясное небо; абдужду пикруме ясные мысли; абдужду исала чисто постиранные вещи.
Kubachi,kuba1248,18,1,абду/бакь-и(й),a-b-d-u-/-b-a-q'-ʔ-i-(-j-),"III; мн. I-II (/вакьи, /якьи; /дакьи), -ай, -иб, -ибзиб, -а; гIяхле абдубакьи хорошо почистить; абдубакьибзиб хатIа очищенная тарелка; юццилдил дила палтар абдудакьай сестра почистила мою одежду; несов. абдубикьи.","III; мн. I-II (/вакьи, /якьи; /дакьи), -ай, -иб, -ибзиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",очистить,гIяхле абдубакьи хорошо почистить; абдубакьибзиб хатIа очищенная тарелка; юццилдил дила палтар абдудакьай сестра почистила мою одежду; несов. абдубикьи.
Kubachi,kuba1248,19,1,абду/бикь-и(й),a-b-d-u-/-b-i-q'-ʔ-i-(-j-),"III, мн. I-II (/викьи, /йикьи, /дикьи), -у, -ул, -узиб, -а; азбар абдубикьи чистить двор; чаханте абдудикьи биччихьид люблю чистить обувь; гьар ччаваллла сулбе абдудикьузиб (виисужуд) бихва каждое утро нужно чистить зубы.; сов. абдубакьи;","III, мн. I-II (/викьи, /йикьи, /дикьи), -у, -ул, -узиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",очищать,азбар абдубикьи чистить двор; чаханте абдудикьи биччихьид люблю чистить обувь; гьар ччаваллла сулбе абдудикьузиб (виисужуд) бихва каждое утро нужно чистить зубы.; сов. абдубакьи;
Kubachi,kuba1248,20,1,абду/бихв-и(й),a-b-d-u-/-b-i-χ-w-i-(-j-),"III; мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е; ихъаннидил нюхъбе абдудихва руки очищаются мылом; гал ццуцнаццил абдувихул дахье уже мальчик долго очищался от колючек.; сов. абдубухи;","III; мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",очищаться,ихъаннидил нюхъбе абдудихва руки очищаются мылом; гал ццуцнаццил абдувихул дахье уже мальчик долго очищался от колючек.; сов. абдубухи;
Kubachi,kuba1248,21,1,абду/бух-и(й),a-b-d-u-/-b-u-χ-ʔ-i-(-j-),"III; мн. I-II (/ухи, /юхи; /духи), -е, -уб, -убзиб, -е; вачаг абдубухуб саб брюки очистились; абдубухубзиб мусса очистившееся место; улгам абдубухахьи бажил саб надо, чтобы шуба очистилась.; несов. абдубихви;","III; мн. I-II (/ухи, /юхи; /духи), -е, -уб, -убзиб, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",очиститься,"вачаг абдубухуб саб брюки очистились; абдубухубзиб мусса очистившееся место; улгам абдубухахьи бажил саб надо, чтобы шуба очистилась.; несов. абдубихви;"
Kubachi,kuba1248,22,1,абду/зи-б,a-b-d-u-/-z-i-b,"(-в, -й; /жуб, /жуд); абдужду палтар чистая одежда; абдужуб бикIате чистые дети; дила итти хьул абдузиб де намерение (желание) к тебе у меня было чистое.","(-в, -й; /жуб, /жуд)",Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",чистый,абдужду палтар чистая одежда; абдужуб бикIате чистые дети; дила итти хьул абдузиб де намерение (желание) к тебе у меня было чистое.
Kubachi,kuba1248,23,1,абдудихь,a-b-d-u-d-i-x,"-лидил, -ла, абдудище; гьарбехамххали абдудихь бажил саб ежедневно для тела нужна чистота; ♦Абдудихь – чахла арадихь прим. чистота – здоровье тела.","-лидил, -ла, абдудище",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",чистота,гьарбехамххали абдудихь бажил саб ежедневно для тела нужна чистота; ♦Абдудихь – чахла арадихь прим. чистота – здоровье тела.
Kubachi,kuba1248,24,1,абиккан/āж-и(й),a-b-i-kk-a-n-/-ā-ʒ-̌-i-(-j-),"III; -и, /агул, /агузиб, -и; абикканагужду гъайслова, которые обидели; вагьла атта-абай бикIле абикканажихьи агага никогда нельзя обижать своих родителей; дила абикканагне дудил синце гьабилгвила я ему выскажу свое огорчение (обиду).; сов. абикканажи;","III; -и, /агул, /агузиб, -и",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",обижать,"абикканагужду гъайслова, которые обидели; вагьла атта-абай бикIле абикканажихьи агага никогда нельзя обижать своих родителей; дила абикканагне дудил синце гьабилгвила я ему выскажу свое огорчение (обиду).; сов. абикканажи;"
Kubachi,kuba1248,25,1,абиккан/аж-и́(й),a-b-i-kk-a-n-/-a-ʒ-̌-i-(-j-),"III; -е, /агул, /агузиб, -и; дамми гъакал абикканагахьай меня сильно обидели;юлдашли абикканагахьи бажиладе не надо было огорчать друга; ила бакьутте дамми абикканагузибде твой поступок огорчил меня.; несов. абикканайжи;","III; -е, /агул, /агузиб, -и",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",обидеть,дамми гъакал абикканагахьай меня сильно обидели;юлдашли абикканагахьи бажиладе не надо было огорчать друга; ила бакьутте дамми абикканагузибде твой поступок огорчил меня.; несов. абикканайжи;
Kubachi,kuba1248,26,1,абикканагала,a-b-i-kk-a-n-a-g-a-l-a,"-лиди, -лла, абикканаглуме; ццукъзибабикканагала глубокая обида; дила абикканагаламоя обида; ила абикканагалалдил ду паргъатаквкатвакьайтвоя обида меня растревожила. ♦Абиккан агагузив, инсан агага погов.тот, который не стыдится, человеком не станет. ♦Абиккан агмагат! обращ. не обижайся! ♦Абиккан ажид! собол. горестно, сочувствую горю. ♦Абикканажид. Сини алжана биккаб! собол. очень огорчены случившимся. Пусть он окажется в раю.","-лиди, -лла, абикканаглуме",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",обида,"ццукъзибабикканагала глубокая обида; дила абикканагаламоя обида; ила абикканагалалдил ду паргъатаквкатвакьайтвоя обида меня растревожила. ♦Абиккан агагузив, инсан агага погов.тот, который не стыдится, человеком не станет. ♦Абиккан агмагат! обращ. не обижайся! ♦Абиккан ажид! собол. горестно, сочувствую горю. ♦Абикканажид. Сини алжана биккаб! собол. очень огорчены случившимся. Пусть он окажется в раю."
Kubachi,kuba1248,27,1,абиччи/зи-б,a-b-i-čč-i-/-z-i-b,"(авиччизив, айиччизий; /жуб, адиччижду); абиччизиб хабарнеприятное известие; авиччизив инсан неприятный человек; адиччижду пишне дакьисовершить неприятные поступки (проделки). ♦Авиккузивли гьис мидизиб погов.нелюбимому послаще.","(авиччизив, айиччизий; /жуб, адиччижду)",Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",неприятный,абиччизиб хабарнеприятное известие; авиччизив инсан неприятный человек; адиччижду пишне дакьисовершить неприятные поступки (проделки). ♦Авиккузивли гьис мидизиб погов.нелюбимому послаще.
Kubachi,kuba1248,28,1,абла // абдикIнелла,a-b-l-a//a-b-d-i-k'-n-e-ll-a,"абла бе весенний день; абла палтар весенняя одежда; нуссадил биццизиб абла белжиб ккуц беквида мы съели вкусный хинкал в день весеннего равноденствия. ♦ Абла ккуц обр. хинкал, приготовленный в день весеннего равноденствия (букв.хинкал весны).",,Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",весенний,"абла бе весенний день; абла палтар весенняя одежда; нуссадил биццизиб абла белжиб ккуц беквида мы съели вкусный хинкал в день весеннего равноденствия. ♦ Абла ккуц обр. хинкал, приготовленный в день весеннего равноденствия (букв.хинкал весны)."
Kubachi,kuba1248,29,1,ав,a-w,"-лидил, -ла; ед.; бицIла ав волчий вой; ккушшуд буцIалла ав каттикьулдебыл слышенвой голодных волков.","-лидил, -ла; ед.",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",вой,бицIла ав волчий вой; ккушшуд буцIалла ав каттикьулдебыл слышенвой голодных волков.
Kubachi,kuba1248,30,1,ав/букI-и(й),a-w-/-b-u-k'-i-(-j-),"III (мн. дукIи), -ай, -ул, -узиб, -е; авбукIи бебидище начал выть; ккушзиб бицI авбукIай воет голодный волк.","III (мн. дукIи), -ай, -ул, -узиб, -е",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",выть,авбукIи бебидище начал выть; ккушзиб бицI авбукIай воет голодный волк.
Kubachi,kuba1248,31,1,авара // агвара,a-w-a-r-a//a-g-w-a-r-a,"-лидил, -лла; -те; дажаккважду авара ненужная возня; авара дедище началась возня; нате няхIякьла авараде это была напрасная возня.","-лидил, -лла; -те",Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",возня,дажаккважду авара ненужная возня; авара дедище началась возня; нате няхIякьла авараде это была напрасная возня.
Kubachi,kuba1248,32,1,аваракква/зи-в,a-w-a-r-a-kk-w-a-/-z-i-w,(-й; /жуб); аваракквазив инсан беззаботный человек.,(-й; /жуб),Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",беззаботный,аваракквазив инсан беззаботный человек.
Kubachi,kuba1248,33,1,аваракквадихь,a-w-a-r-a-kk-w-a-d-i-x,"-лидил, -ла, аваракквадище; ил аваракквадихьлищила уццул сав он действует с безразличием (равнодушно); аваракквадихьле бакьутте хъямле ажи из-за безразличия дело завершилосънеудачно.","-лидил, -ла, аваракквадище",Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",безразличие,ил аваракквадихьлищила уццул сав он действует с безразличием (равнодушно); аваракквадихьле бакьутте хъямле ажи из-за безразличия дело завершилосънеудачно.
Kubachi,kuba1248,34,1,аваракквал,a-w-a-r-a-kk-w-a-l,нареч.; аваракквал хIирухи прожить беспечно; жагьилтаддил аваракквал гIюмру дидукIул саб молодежьживет беспечно.,нареч.,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",беспечно,аваракквал хIирухи прожить беспечно; жагьилтаддил аваракквал гIюмру дидукIул саб молодежьживет беспечно.
Kubachi,kuba1248,35,1,аварахъле,a-w-a-r-a-q-l-e,нареч.; аварахълебашихъипустить галопом; муттадил уче аварахъле гьайбакьай всадник пустил коня галопом.,нареч.,Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",галопом,аварахълебашихъи пустить галопом; муттадил уче аварахъле гьайбакьай всадник пустил коня галопом.
Kubachi,kuba1248,36,1,август,a-w-g-u-s-t,"-лидил, -ла, ед.; августла вахт августовское время; август сабагье наступил август; ниссила щилщид августлижид ххял микъубе дикьу в нашем селе в августе играют много свадеб.","-лидил, -ла, ед.",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",август,августла вахт августовское время; август сабагье наступил август; ниссила щилщид августлижид ххял микъубе дикьу в нашем селе в августе играют много свадеб.
Kubachi,kuba1248,37,1,авгъдяш,a-w-ʁ-d-ja-š,числ.; агъвядш къуруш четыреста рублей; цIижду чаханте агъвядш къурушли ассад новую обувь купил за четыреста рублей.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",четыреста,агъвядш къуруш четыреста рублей; цIижду чаханте агъвядш къурушли ассад новую обувь купил за четыреста рублей.
Kubachi,kuba1248,38,1,авдан/ба́кь-и(й),a-w-d-a-n-/-b-a-q'-ʔ-i-(-j-),"III; мн. I-II (/вакьи, /якьи; /дакьи), -ай, иб, -ибзиб, -а; гIячилдил авданвакьибзив разбогатевший своим трудом (работой); гъилал вахтижиб ариш-баришидил ххял уй авданбакьай в последнее время торговля обогатила много людей.; несов. авданбикьи;","III; мн. I-II (/вакьи, /якьи; /дакьи), -ай, иб, -ибзиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",обогатить,гIячилдил авданвакьибзив разбогатевший своим трудом (работой); гъилал вахтижиб ариш-баришидил ххял уй авданбакьай в последнее время торговля обогатила много людей.; несов. авданбикьи;
Kubachi,kuba1248,39,1,авдан/би́кь-и(й),a-w-d-a-n-/-b-i-q'-ʔ-i-(-j-),"III; мн. I-II (/викьи, /йикьи; /дикьи), -у, -ул, -узиб, -а; авдандихь гьарилли бажил саб богатство всем нужно. ♦ГIячилдил авданвикьекьу пог. труд (работа) не обогащает.; сов. авданбакьи;","III; мн. I-II (/викьи, /йикьи; /дикьи), -у, -ул, -узиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",обогащать,авдандихь гьарилли бажил саб богатство всем нужно. ♦ГIячилдил авданвикьекьу пог. труд (работа) не обогащает.; сов. авданбакьи;
Kubachi,kuba1248,40,1,авдан/би́хв-и(й),a-w-d-a-n-/-b-i-χ-w-i-(-j-),"III; мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е; уй авданбихул саблюди богатеют;дене авданвихви вевидище сосед начал богатеть.; сов. авданбухи;","III; мн. I-II (/вихви, /йихви; /дихви), -е, -ул, -узиб, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",богатеть,уй авданбихул саблюди богатеют;дене авданвихви вевидище сосед начал богатеть.; сов. авданбухи;
Kubachi,kuba1248,41,1,авдан/бух-и(й),a-w-d-a-n-/-b-u-χ-ʔ-i-(-j-),"III; мн. I-II (/ухи, /ьюхи; /духи), -е, -уб, -убзиб, -е; сикIалли авданбухи биккул саб все хотят разбогатеть; шшанте авданбухале мискинзивлия уччикабахьаесли сельчане разбогатеют, бедному тоже перепадает; дунуппе авдабухуб чачIу бишлагьабикьул асаб разбогатев, соседи не считаютсяни с кем.; несов. авданбихви;","III; мн. I-II (/ухи, /ьюхи; /духи), -е, -уб, -убзиб, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",разбогатеть,"сикIалли авданбухи биккул саб все хотят разбогатеть; шшанте авданбухале мискинзивлия уччикабахьаесли сельчане разбогатеют, бедному тоже перепадает; дунуппе авдабухуб чачIу бишлагьабикьул асаб разбогатев, соседи не считаютсяни с кем.; несов. авданбихви;"
Kubachi,kuba1248,42,1,авданди́хь,a-w-d-a-n-d-i-x,"-лидил, -ла, -ше; улкалла авдандихь богатство страны; калхузалла вахтижиб ккулаккалла авдандихь квебеттайво время создания колхозову кулаков отняли богатство; савитI хIукумат букIул бикве, «ниссилла улкалла авдандихьла багьанте нуссада» «мы хозяева богатств нашей страны», декларировало советское государство.","-лидил, -ла, -ше",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",богатство,"улкалла авдандихь богатство страны; калхузалла вахтижиб ккулаккалла авдандихь квебеттайво время создания колхозову кулаков отняли богатство; савитI хIукумат букIул бикве, «ниссилла улкалла авдандихьла багьанте нуссада» «мы хозяева богатств нашей страны», декларировало советское государство."
Kubachi,kuba1248,43,1,агāгу/зи-б,a-g-ā-g-u-/-z-i-b,"(-в, -й; /жуб, /жуд); агагузиб гьаисказать непристойное; иддил агагужду тяхIярте дакьай он поступил некрасиво (непристойно).","(-в, -й; /жуб, /жуд)",Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",запретный,агагузиб гьаисказать непристойное; иддил агагужду тяхIярте дакьай он поступил некрасиво (непристойно).
Kubachi,kuba1248,44,1,агва,a-g-w-a,"-лдил, -лла, -не; цIизиб агва новое платье; агва чахи надеть платье; пIартIнихадил букьязиб агва бахи мастерица сшила красивое платье. ♦Шяняш ляписла агва фольк. платье цвета ляписа.","-лдил, -лла, -не",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",платье,цIизиб агва новое платье; агва чахи надеть платье; пIартIнихадил букьязиб агва бахи мастерица сшила красивое платье. ♦Шяняш ляписла агва фольк. платье цвета ляписа.
Kubachi,kuba1248,45,1,агва-кIаз,a-g-w-a-k'-a-z,"-лидил, -ла; агва-кIуззе; цIиквайла агва-кIаз одежда невесты; юссили гьегьедиччибжду агва-кIазприданная одежда дочери.","-лидил, -ла; агва-кIуззе",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",женская одежда,цIиквайла агва-кIаз одежда невесты; юссили гьегьедиччибжду агва-кIазприданная одежда дочери; (букв. платье-головная накидка)
Kubachi,kuba1248,46,1,агван/āж-и(й),a-g-w-a-n-/-ā-ʒ-̌-i-(-j-),"I-III; -и, /агул, /агузиб, -и; дехъв агванажи убирать хлев;бикIате чула сикIабха агванажихъи буссабикьи бажил саб надо приучать детей убирать свои вещи.; сов. агванажи;","I-III; -и, /агул, /агузиб, -и",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",убирать,дехъв агванажи убирать хлев;бикIате чула сикIабха агванажихъи буссабикьи бажил саб надо приучать детей убирать свои вещи.; сов. агванажи;
Kubachi,kuba1248,47,1,агван/аж-и(й),a-g-w-a-n-/-a-ʒ-̌-i-(-j-),"I-III; -и, /агул, /агузиб, -и; бушагванажи убрать постель; агванагузиб хъал прибраннаякомната; вахтижиб ма агванажида вовремя убрали сено.; несов. агванажи;","I-III; -и, /агул, /агузиб, -и",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",убрать,бушагванажи убрать постель; агванагузиб хъал прибраннаякомната; вахтижиб ма агванажида вовремя убрали сено.; несов. агванажи;
Kubachi,kuba1248,48,1,агвачан,a-g-w-a-č-a-n,"-нидил, -на, -те; найлунна агвачан нейлоновая рубашка; дулкьунзиб агвачан коричневая рубашка; агвачан чахи надеть рубашку; агвачанна дулкме духъинне сад рукава рубашки длинные.","-нидил, -на, -те",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",рубашка,найлунна агвачан нейлоновая рубашка; дулкьунзиб агвачан коричневая рубашка; агвачан чахи надеть рубашку; агвачанна дулкме духъинне сад рукава рубашки длинные.
Kubachi,kuba1248,49,1,агр-е,a-g-r-e,"-илдил, -илла; гIячилла агре величина работы; агре камбакьиуменьшитьобъем работы; е гIячилла агре гьабагье гьасиб хиб величина (объем) этой работы достаточна.","-илдил, -илла",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",объем,гIячилла агре величина работы; агре камбакьиуменьшитьобъем работы; е гIячилла агре гьабагье гьасиб хиб величина (объем) этой работы достаточна.
Kubachi,kuba1248,50,1,āгу/зи-б,ā-g-u-/-z-i-b,"(-в, -й; /жуб, /жуд);; агузиб гIяче получающаяся работа; агужду сикIабха дела, которые могут закончиться удачно; ду ишшу сякьилла агузиб вахтла я к тебе приду, как получится (букв. будет получаться).","(-в, -й; /жуб, /жуд);",Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",получающийся,"агузиб гIяче получающаяся работа; агужду сикIабха дела, которые могут закончиться удачно; ду ишшу сякьилла агузиб вахтла я к тебе приду, как получится (букв. будет получаться)."
Kubachi,kuba1248,51,1,агузиб,a-g-u-z-i-b,"(-в, -й; -жуб, -жуд);; агужду тIама-гьама случившиеся события; пакле агузиб гIяче красиво получившаяся работа.","(-в, -й; -жуб, -жуд);",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",случившееся,агужду тIама-гьама случившиеся события; пакле агузиб гIяче красиво получившаяся работа.
